42.000325,-119.904785
42.000325,-119.289551
42.000325,-118.674316
42.000325,-118.059082
42.000325,-117.443848
42.000325,-116.828613
42.000325,-116.213379
42.000325,-115.664062
42.000325,-115.3125
42.000325,-114.960937
42.000325,-114.543457
42.000325,-114.125977
42.008489,-117.026367
41.763117,-117.015381
41.508577,-117.004395
41.261291,-116.993408
41.004775,-116.982422
40.747257,-116.971436
40.488737,-116.960449
40.229218,-116.949463
39.968701,-116.938477
39.707187,-116.92749
39.444678,-116.916504
39.181175,-116.905518
38.916682,-116.894531
